BioSample	Experiment	Library_Name	LoadDate	MBases	MBytes	PCR_plate	PCR_well	Run	SRA_Sample	Sample_Name	host_subject_id	replicate	seq_lab	seq_run	titration	Assay_Type	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	collection_date	env_biome	env_feature	env_material	geo_loc_name	host	isol_growth_condt	lat_lon	strain
SAMN09634792	SRX4371526	E01JH0016_15_2_H9_JHU_2	7/12/18	44	28	2	H9	SRR7502058	SRS3529630	E01JH0016_15_2_H9	E01JH0016	PCR replicate 4	jhu	jhu2	15	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634791	SRX4371527	E01JH0011_15_2_H8_JHU_2	7/12/18	53	33	2	H8	SRR7502055	SRS3529632	E01JH0011_15_2_H8	E01JH0011	PCR replicate 4	jhu	jhu2	15	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634702	SRX4371634	E01JH0016_20_2_A3_JHU_2	7/12/18	48	31	2	A3	SRR7502234	SRS3529586	E01JH0016_20_2_A3	E01JH0016	PCR replicate 3	jhu	jhu2	20	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634701	SRX4371635	E01JH0011_20_2_A2_JHU_2	7/12/18	28	18	2	A2	SRR7502233	SRS3529585	E01JH0011_20_2_A2	E01JH0011	PCR replicate 3	jhu	jhu2	20	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634700	SRX4371636	NTC_NA_2_A12_JHU_2	7/12/18	0	0	2	A12	SRR7502235	SRS3529545	NTC_NA_2_A12	NTC	PCR replicate 7	jhu	jhu2	NA	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634699	SRX4371637	E01JH0038_20_2_A11_JHU_2	7/12/18	44	27	2	A11	SRR7502232	SRS3529543	E01JH0038_20_2_A11	E01JH0038	PCR replicate 3	jhu	jhu2	20	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634706	SRX4371638	E01JH0004_20_2_A7_JHU_2	7/12/18	57	36	2	A7	SRR7502231	SRS3529605	E01JH0004_20_2_A7	E01JH0004	PCR replicate 4	jhu	jhu2	20	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634705	SRX4371639	NTC_NA_2_A6_JHU_2	7/12/18	2	0	2	A6	SRR7502229	SRS3529603	NTC_NA_2_A6	NTC	PCR replicate 8	jhu	jhu2	NA	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634704	SRX4371640	E01JH0038_20_2_A5_JHU_2	7/12/18	33	20	2	A5	SRR7502228	SRS3529582	E01JH0038_20_2_A5	E01JH0038	PCR replicate 4	jhu	jhu2	20	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634703	SRX4371641	E01JH0017_20_2_A4_JHU_2	7/12/18	51	32	2	A4	SRR7502230	SRS3529606	E01JH0017_20_2_A4	E01JH0017	PCR replicate 4	jhu	jhu2	20	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634787	SRX4371659	E01JH0017_15_2_H4_JHU_2	7/12/18	55	34	2	H4	SRR7502209	SRS3529617	E01JH0017_15_2_H4	E01JH0017	PCR replicate 4	jhu	jhu2	15	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634788	SRX4371660	E01JH0038_15_2_H5_JHU_2	7/12/18	45	28	2	H5	SRR7502208	SRS3529615	E01JH0038_15_2_H5	E01JH0038	PCR replicate 4	jhu	jhu2	15	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634783	SRX4371661	E01JH0038_15_2_H11_JHU_2	7/12/18	38	24	2	H11	SRR7502210	SRS3529511	E01JH0038_15_2_H11	E01JH0038	PCR replicate 3	jhu	jhu2	15	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634784	SRX4371662	NTC_NA_2_H12_JHU_2	7/12/18	1	0	2	H12	SRR7502207	SRS3529509	NTC_NA_2_H12	NTC	PCR replicate 11	jhu	jhu2	NA	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634785	SRX4371663	E01JH0011_15_2_H2_JHU_2	7/12/18	29	18	2	H2	SRR7502206	SRS3529506	E01JH0011_15_2_H2	E01JH0011	PCR replicate 3	jhu	jhu2	15	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634786	SRX4371664	E01JH0016_15_2_H3_JHU_2	7/12/18	47	30	2	H3	SRR7502204	SRS3529507	E01JH0016_15_2_H3	E01JH0016	PCR replicate 3	jhu	jhu2	15	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634779	SRX4371665	E01JH0011_10_2_G8_JHU_2	7/12/18	68	43	2	G8	SRR7502203	SRS3529480	E01JH0011_10_2_G8	E01JH0011	PCR replicate 4	jhu	jhu2	10	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634780	SRX4371666	E01JH0016_10_2_G9_JHU_2	7/12/18	57	37	2	G9	SRR7502205	SRS3529479	E01JH0016_10_2_G9	E01JH0016	PCR replicate 4	jhu	jhu2	10	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634781	SRX4371667	E01JH0004_15_2_H1_JHU_2	7/12/18	46	29	2	H1	SRR7502202	SRS3529475	E01JH0004_15_2_H1	E01JH0004	PCR replicate 3	jhu	jhu2	15	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634782	SRX4371668	E01JH0017_15_2_H10_JHU_2	7/12/18	46	29	2	H10	SRR7502201	SRS3529474	E01JH0017_15_2_H10	E01JH0017	PCR replicate 3	jhu	jhu2	15	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634630	SRX4371568	E01JH0016_2_1_C3_JHU_2	7/12/18	49	31	1	C3	SRR7502301	SRS3529581	E01JH0016_2_1_C3	E01JH0016	PCR replicate 1	jhu	jhu2	2	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634747	SRX4371571	E01JH0038_4_2_E11_JHU_2	7/12/18	70	44	2	E11	SRR7502300	SRS3529514	E01JH0038_4_2_E11	E01JH0038	PCR replicate 3	jhu	jhu2	4	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634748	SRX4371572	E01JH0017_0_2_E12_JHU_2	7/12/18	81	51	2	E12	SRR7502297	SRS3529510	E01JH0017_0_2_E12	E01JH0017	PCR replicate 3	jhu	jhu2	0	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634739	SRX4371573	E01JH0017_3_2_D4_JHU_2	7/12/18	38	24	2	D4	SRR7502296	SRS3529535	E01JH0017_3_2_D4	E01JH0017	PCR replicate 4	jhu	jhu2	3	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634740	SRX4371574	E01JH0038_3_2_D5_JHU_2	7/12/18	30	19	2	D5	SRR7502294	SRS3529536	E01JH0038_3_2_D5	E01JH0038	PCR replicate 4	jhu	jhu2	3	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634741	SRX4371575	NTC_NA_2_D6_JHU_2	7/12/18	0	0	2	D6	SRR7502293	SRS3529572	NTC_NA_2_D6	NTC	PCR replicate 10	jhu	jhu2	NA	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634742	SRX4371576	E01JH0004_3_2_D7_JHU_2	7/12/18	53	33	2	D7	SRR7502295	SRS3529570	E01JH0004_3_2_D7	E01JH0004	PCR replicate 4	jhu	jhu2	3	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634743	SRX4371577	E01JH0011_3_2_D8_JHU_2	7/12/18	44	28	2	D8	SRR7502292	SRS3529513	E01JH0011_3_2_D8	E01JH0011	PCR replicate 4	jhu	jhu2	3	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634744	SRX4371578	E01JH0016_3_2_D9_JHU_2	7/12/18	36	23	2	D9	SRR7502291	SRS3529492	E01JH0016_3_2_D9	E01JH0016	PCR replicate 4	jhu	jhu2	3	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634745	SRX4371579	E01JH0004_4_2_E1_JHU_2	7/12/18	70	44	2	E1	SRR7502289	SRS3529516	E01JH0004_4_2_E1	E01JH0004	PCR replicate 3	jhu	jhu2	4	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634746	SRX4371580	E01JH0017_4_2_E10_JHU_2	7/12/18	65	41	2	E10	SRR7502288	SRS3529515	E01JH0017_4_2_E10	E01JH0017	PCR replicate 3	jhu	jhu2	4	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634613	SRX4371592	E01JH0004_1_1_B1_JHU_2	7/12/18	73	45	1	B1	SRR7502277	SRS3529584	E01JH0004_1_1_B1	E01JH0004	PCR replicate 1	jhu	jhu2	1	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634614	SRX4371593	E01JH0017_1_1_B10_JHU_2	7/12/18	51	33	1	B10	SRR7502276	SRS3529587	E01JH0017_1_1_B10	E01JH0017	PCR replicate 1	jhu	jhu2	1	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634615	SRX4371594	E01JH0038_1_1_B11_JHU_2	7/12/18	52	33	1	B11	SRR7502274	SRS3529597	E01JH0038_1_1_B11	E01JH0038	PCR replicate 1	jhu	jhu2	1	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634616	SRX4371595	E01JH0011_0_1_B12_JHU_2	7/12/18	80	50	1	B12	SRR7502273	SRS3529596	E01JH0011_0_1_B12	E01JH0011	PCR replicate 1	jhu	jhu2	0	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634609	SRX4371596	NTC_NA_1_A6_JHU_2	7/12/18	0	0	1	A6	SRR7502275	SRS3529590	NTC_NA_1_A6	NTC	PCR replicate 2	jhu	jhu2	NA	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634610	SRX4371597	E01JH0004_20_1_A7_JHU_2	7/12/18	38	24	1	A7	SRR7502272	SRS3529592	E01JH0004_20_1_A7	E01JH0004	PCR replicate 2	jhu	jhu2	20	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634611	SRX4371598	E01JH0011_20_1_A8_JHU_2	7/12/18	32	20	1	A8	SRR7502271	SRS3529589	E01JH0011_20_1_A8	E01JH0011	PCR replicate 2	jhu	jhu2	20	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634612	SRX4371599	E01JH0016_20_1_A9_JHU_2	7/12/18	33	21	1	A9	SRR7502269	SRS3529588	E01JH0016_20_1_A9	E01JH0016	PCR replicate 2	jhu	jhu2	20	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634617	SRX4371600	E01JH0011_1_1_B2_JHU_2	7/12/18	45	28	1	B2	SRR7502268	SRS3529468	E01JH0011_1_1_B2	E01JH0011	PCR replicate 1	jhu	jhu2	1	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634618	SRX4371601	E01JH0016_1_1_B3_JHU_2	7/12/18	46	29	1	B3	SRR7502270	SRS3529469	E01JH0016_1_1_B3	E01JH0016	PCR replicate 1	jhu	jhu2	1	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634708	SRX4371628	E01JH0016_20_2_A9_JHU_2	7/12/18	43	28	2	A9	SRR7502241	SRS3529531	E01JH0016_20_2_A9	E01JH0016	PCR replicate 4	jhu	jhu2	20	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634707	SRX4371629	E01JH0011_20_2_A8_JHU_2	7/12/18	48	30	2	A8	SRR7502239	SRS3529532	E01JH0011_20_2_A8	E01JH0011	PCR replicate 4	jhu	jhu2	20	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634666	SRX4371726	E01JH0016_5_1_F3_JHU_2	7/12/18	55	36	1	F3	SRR7502432	SRS3529607	E01JH0016_5_1_F3	E01JH0016	PCR replicate 1	jhu	jhu2	5	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634665	SRX4371727	E01JH0011_5_1_F2_JHU_2	7/12/18	58	37	1	F2	SRR7502429	SRS3529608	E01JH0011_5_1_F2	E01JH0011	PCR replicate 1	jhu	jhu2	5	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634664	SRX4371728	E01JH0004_0_1_F12_JHU_2	7/12/18	65	42	1	F12	SRR7502428	SRS3529644	E01JH0004_0_1_F12	E01JH0004	PCR replicate 1	jhu	jhu2	0	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634663	SRX4371729	E01JH0038_5_1_F11_JHU_2	7/12/18	56	35	1	F11	SRR7502426	SRS3529645	E01JH0038_5_1_F11	E01JH0038	PCR replicate 1	jhu	jhu2	5	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634660	SRX4371732	E01JH0016_4_1_E9_JHU_2	7/12/18	43	27	1	E9	SRR7502424	SRS3529642	E01JH0016_4_1_E9	E01JH0016	PCR replicate 2	jhu	jhu2	4	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634659	SRX4371733	E01JH0011_4_1_E8_JHU_2	7/12/18	36	22	1	E8	SRR7502423	SRS3529643	E01JH0011_4_1_E8	E01JH0011	PCR replicate 2	jhu	jhu2	4	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634736	SRX4371799	NTC_NA_2_D12_JHU_2	7/12/18	0	0	2	D12	SRR7502356	SRS3529504	NTC_NA_2_D12	NTC	PCR replicate 9	jhu	jhu2	NA	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634735	SRX4371800	E01JH0038_3_2_D11_JHU_2	7/12/18	44	28	2	D11	SRR7502355	SRS3529527	E01JH0038_3_2_D11	E01JH0038	PCR replicate 3	jhu	jhu2	3	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634734	SRX4371801	E01JH0017_3_2_D10_JHU_2	7/12/18	44	28	2	D10	SRR7502357	SRS3529519	E01JH0017_3_2_D10	E01JH0017	PCR replicate 3	jhu	jhu2	3	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634733	SRX4371802	E01JH0004_3_2_D1_JHU_2	7/12/18	50	32	2	D1	SRR7502354	SRS3529520	E01JH0004_3_2_D1	E01JH0004	PCR replicate 3	jhu	jhu2	3	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634732	SRX4371803	E01JH0016_2_2_C9_JHU_2	7/12/18	51	33	2	C9	SRR7502353	SRS3529522	E01JH0016_2_2_C9	E01JH0016	PCR replicate 4	jhu	jhu2	2	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634731	SRX4371804	E01JH0011_2_2_C8_JHU_2	7/12/18	56	35	2	C8	SRR7502351	SRS3529524	E01JH0011_2_2_C8	E01JH0011	PCR replicate 4	jhu	jhu2	2	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
